iter	BalancedAccuracy	Logloss
0	0.6418747775	0.6720332483
1	0.6510491261	0.6529587973
2	0.6479049407	0.6362337231
3	0.6516830659	0.6215219045
4	0.650720744	0.6085544029
5	0.6534138379	0.5960442703
6	0.6560228302	0.5853170229
7	0.6558796883	0.5760262809
8	0.656270506	0.5673714729
9	0.6570395631	0.5596937121
10	0.6570678494	0.552931051
11	0.6580590845	0.5465189012
12	0.658766047	0.5406558501
13	0.6591250678	0.5354933399
14	0.6586070067	0.5307868532
15	0.6593967619	0.526436972
16	0.6598439065	0.5224672167
17	0.6597626887	0.5189376227
18	0.6608740905	0.5157104738
19	0.6611594062	0.5127835079
20	0.6614636748	0.5096286196
21	0.6617760632	0.5073546068
22	0.662619091	0.5046384696
23	0.6626985635	0.5027195072
24	0.6632302461	0.5004553102
25	0.6635129439	0.4987196298
26	0.6643632188	0.4968499367
27	0.6651657229	0.4951122308
28	0.6654704278	0.4935473199
29	0.6663823609	0.4920317795
30	0.6671683597	0.490707652
31	0.6671058288	0.4894348928
32	0.6675195264	0.488262978
33	0.6679953184	0.4872565735
34	0.6684098886	0.4863167051
35	0.6691113493	0.4853540033
36	0.6697777882	0.4844640726
37	0.6698995298	0.4834375308
38	0.6698737661	0.4825503398
39	0.6702841435	0.4817405872
40	0.6706542631	0.4807774627
41	0.671141495	0.4799738411
42	0.6718083702	0.479301503
43	0.6718920356	0.4785672861
44	0.6722579623	0.477956146
45	0.6730452701	0.477374481
46	0.6735054294	0.4768565922
47	0.6739039305	0.4762912272
48	0.6741520428	0.4757440233
49	0.6745758712	0.4751575684
50	0.6748480017	0.4746097675
51	0.6750166414	0.4741470812
52	0.6758343419	0.4737593837
53	0.6758766109	0.4733023024
54	0.6760866469	0.4729106008
55	0.6765747515	0.4724903889
56	0.6770615471	0.4720810771
57	0.6773070413	0.4716868774
58	0.6776696479	0.4711278897
59	0.6781091091	0.4705744189
60	0.6783981813	0.4701570255
61	0.679125842	0.4697165319
62	0.6792564055	0.4694149061
63	0.6796075722	0.4690396903
64	0.6797812773	0.4686785841
65	0.6799765532	0.4683325203
66	0.6806269231	0.4680255858
67	0.6811462931	0.4676755724
68	0.6813660237	0.4673807182
69	0.6818215539	0.4670073099
70	0.6823151603	0.466639738
71	0.682583098	0.4662646537
72	0.6831599334	0.4658921489
73	0.6832330315	0.4656076846
74	0.6833961694	0.465387245
75	0.6838048015	0.4649740269
76	0.683951434	0.4645966826
77	0.6843558732	0.4642775486
78	0.6848541088	0.4639187671
79	0.6851575047	0.4635931926
80	0.6853464062	0.4633153521
81	0.6854884096	0.4630717416
82	0.6858442054	0.4628176317
83	0.6864104736	0.462464385
84	0.6867460076	0.4622758324
85	0.6872092212	0.4618587261
86	0.6873871191	0.4616664753
87	0.6874243227	0.4614147664
88	0.6879791509	0.4611787361
89	0.6881579215	0.4608293442
90	0.6881583578	0.460589103
91	0.6882162595	0.4602109131
92	0.6888831347	0.4599704711
93	0.6891129962	0.4597631057
94	0.689296396	0.4594758583
95	0.6890513381	0.4591891183
96	0.6895977807	0.4588241625
97	0.689901613	0.4586348128
98	0.6902688487	0.4583900455
99	0.6905570483	0.4582175051
100	0.6905101502	0.4579873491
101	0.6907996587	0.4577434927
102	0.6910988618	0.4576070574
103	0.691455094	0.4573859198
104	0.6918485297	0.4570913998
105	0.6921955036	0.4569176164
106	0.6921008347	0.4566916155
107	0.6927186301	0.4564395261
108	0.6927655282	0.4562641246
109	0.6930752986	0.4559765728
110	0.6934108326	0.4558601532
111	0.6934112689	0.4556643522
112	0.6936204322	0.4554981903
113	0.6935198252	0.4550971008
114	0.6935997341	0.4549836394
115	0.693878239	0.4547951318
116	0.6942032058	0.4545888996
117	0.6942974384	0.4543798763
118	0.6949004737	0.4541093256
119	0.6948971536	0.4538736307
120	0.6949394226	0.4537166802
121	0.6950699861	0.4534955299
122	0.6955948579	0.4531648935
123	0.6958200903	0.4530296457
124	0.6962566676	0.4528159852
125	0.6965549981	0.4526402382
