iter	Passed	Remaining
0	86	25743
1	166	24816
2	252	24956
3	334	24719
4	410	24205
5	491	24072
6	573	24002
7	656	23951
8	737	23841
9	831	24125
10	911	23937
11	995	23885
12	1075	23746
13	1154	23580
14	1235	23476
15	1324	23515
16	1410	23478
17	1495	23431
18	1572	23260
19	1651	23123
20	1727	22951
21	1801	22764
22	1895	22825
23	1975	22720
24	2059	22654
25	2135	22506
26	2218	22427
27	2299	22341
28	2389	22331
29	2471	22242
30	2550	22128
31	2625	21991
32	2702	21863
33	2780	21755
34	2857	21637
35	2949	21627
36	3030	21539
37	3108	21428
38	3191	21359
39	3269	21250
40	3349	21159
41	3433	21090
42	3516	21015
43	3596	20926
44	3671	20805
45	3749	20703
46	3826	20599
47	3904	20496
48	3990	20443
49	4072	20360
50	4149	20258
51	4225	20154
52	4297	20030
53	4370	19912
54	4451	19827
55	4539	19779
56	4615	19678
57	4689	19566
58	4771	19489
59	4854	19416
60	4930	19318
61	5018	19262
62	5096	19171
63	5171	19068
64	5249	18980
65	5324	18876
66	5402	18786
67	5478	18692
68	5566	18634
69	5647	18555
70	5727	18474
71	5804	18381
72	5881	18290
73	5961	18206
74	6033	18100
75	6127	18058
76	6204	17968
77	6282	17879
78	6362	17798
79	6439	17709
80	6522	17633
81	6609	17570
82	6686	17480
83	6762	17388
84	6848	17323
85	6927	17237
86	6997	17132
87	7073	17041
88	7158	16971
89	7238	16889
90	7316	16803
91	7397	16725
92	7475	16639
93	7550	16546
94	7626	16457
95	7713	16390
96	7791	16306
97	7862	16207
98	7936	16113
99	8012	16025
100	8087	15935
101	8163	15846
102	8247	15774
103	8325	15689
104	8404	15608
105	8477	15515
106	8552	15426
107	8633	15347
108	8715	15271
109	8794	15190
110	8867	15098
111	8960	15041
112	9033	14949
113	9116	14874
114	9195	14793
115	9282	14724
116	9362	14643
117	9442	14563
118	9522	14483
119	9598	14397
120	9674	14311
121	9748	14223
122	9839	14158
123	9913	14070
124	9988	13984
125	10060	13893
126	10137	13808
127	10212	13723
128	10289	13639
129	10370	13560
130	10456	13489
131	10533	13406
132	10610	13322
133	10687	13239
134	10768	13161
135	10859	13094
136	10933	13008
137	11009	12923
138	11085	12839
139	11160	12754
140	11237	12671
141	11314	12589
142	11402	12518
143	11480	12437
144	11558	12355
145	11635	12273
146	11712	12190
147	11784	12102
148	11862	12022
149	11956	11956
150	12034	11875
151	12108	11789
152	12187	11709
153	12265	11628
154	12344	11548
155	12432	11475
156	12517	11401
157	12592	11316
158	12666	11232
159	12745	11151
160	12821	11069
161	12894	10983
162	12983	10912
163	13061	10831
164	13140	10751
165	13224	10675
166	13300	10592
167	13378	10511
168	13467	10439
169	13551	10362
170	13621	10276
171	13695	10192
172	13773	10111
173	13845	10025
174	13919	9942
175	14008	9869
176	14087	9789
177	14164	9707
178	14241	9626
179	14314	9542
180	14388	9459
181	14460	9375
182	14536	9293
183	14619	9216
184	14696	9135
185	14776	9056
186	14848	8972
187	14930	8894
188	15009	8815
189	15099	8741
190	15178	8662
191	15251	8579
192	15328	8497
193	15408	8419
194	15487	8339
195	15567	8260
196	15660	8187
197	15736	8106
198	15810	8024
199	15885	7942
200	15958	7860
201	16032	7778
202	16115	7700
203	16191	7619
204	16270	7540
205	16350	7460
206	16433	7383
207	16506	7300
208	16529	7197
209	16605	7116
210	16692	7040
211	16765	6959
212	16839	6878
213	16920	6799
214	16997	6719
215	17072	6639
216	17147	6558
217	17237	6483
218	17313	6403
219	17393	6324
220	17473	6246
221	17555	6168
222	17634	6089
223	17717	6011
224	17792	5930
225	17868	5850
226	17942	5769
227	18016	5689
228	18093	5609
229	18173	5531
230	18261	5454
231	18335	5374
232	18410	5294
233	18493	5216
234	18567	5135
235	18644	5056
236	18722	4976
237	18816	4901
238	18891	4821
239	18959	4739
240	19036	4660
241	19111	4580
242	19182	4499
243	19259	4420
244	19341	4342
245	19423	4263
246	19498	4183
247	19570	4103
248	19648	4024
249	19726	3945
250	19808	3866
251	19900	3790
252	19984	3712
253	20057	3632
254	20132	3552
255	20209	3473
256	20283	3393
257	20359	3314
258	20437	3235
259	20510	3155
260	20595	3077
261	20670	2998
262	20744	2918
263	20819	2839
264	20910	2761
265	20983	2682
266	21060	2603
267	21132	2523
268	21209	2444
269	21292	2365
270	21369	2286
271	21454	2208
272	21528	2129
273	21606	2050
274	21681	1971
275	21758	1892
276	21830	1812
277	21905	1733
278	21991	1655
279	22071	1576
280	22142	1497
281	22216	1418
282	22292	1339
283	22326	1257
284	22399	1178
285	22482	1100
286	22565	1022
287	22644	943
288	22721	864
289	22800	786
290	22877	707
291	22947	628
292	23028	550
293	23106	471
294	23176	392
295	23251	314
296	23326	235
297	23408	157
298	23496	78
299	23581	0
